Instance, TimeLimit, Solver, Objective Value
ns1828997.mps, 10, highs, 124.0
ns1828997.mps, 10, cplex, 205.0
ns1828997.mps, 10, Local-ILP, 31.0
ns1853823.mps, 10, SCIP, N/A
ns1853823.mps, 10, gurobi(exact), 284000.0
ns1853823.mps, 10, gurobi(heur), 284000.0
ns1853823.mps, 10, FJ, 2450000.0
ns1853823.mps, 10, highs, N/A
ns1853823.mps, 10, cplex, 5912000.0
ns1853823.mps, 10, Local-ILP, 3556000.0
ns1854840.mps, 10, SCIP, N/A
ns1854840.mps, 10, gurobi(exact), 3092000.0
ns1854840.mps, 10, gurobi(heur), 3092000.0
ns1854840.mps, 10, FJ, 196800000000.0
ns1854840.mps, 10, highs, N/A
ns1854840.mps, 10, cplex, 4744000.0
ns1854840.mps, 10, Local-ILP, 3062000.0
ns894236.mps, 10, SCIP, N/A
ns894236.mps, 10, gurobi(exact), N/A
ns894236.mps, 10, gurobi(heur), N/A
ns894236.mps, 10, FJ, 18.0
ns894236.mps, 10, highs, N/A
ns894236.mps, 10, cplex, N/A
ns894236.mps, 10, Local-ILP, 18.0
ns894786.mps, 10, SCIP, N/A
ns894786.mps, 10, gurobi(exact), N/A
ns894786.mps, 10, gurobi(heur), N/A
ns894786.mps, 10, FJ, 14.0
ns894786.mps, 10, highs, N/A
ns894786.mps, 10, cplex, N/A
ns894786.mps, 10, Local-ILP, N/A
nu120-pr3.mps, 10, SCIP, 45695.0
nu120-pr3.mps, 10, gurobi(exact), 31065.0
nu120-pr3.mps, 10, gurobi(heur), 31790.0
nu120-pr3.mps, 10, FJ, 2232000000021725.0
nu120-pr3.mps, 10, highs, 34915.0
nu120-pr3.mps, 10, cplex, 33920.0
nu120-pr3.mps, 10, Local-ILP, 50075.0
nursesched-medium-hint03.mps, 10, SCIP, 8092.0
nursesched-medium-hint03.mps, 10, gurobi(exact), N/A
nursesched-medium-hint03.mps, 10, gurobi(heur), N/A
nursesched-medium-hint03.mps, 10, FJ, N/A
nursesched-medium-hint03.mps, 10, highs, N/A
nursesched-medium-hint03.mps, 10, cplex, N/A
nursesched-medium-hint03.mps, 10, Local-ILP, 6452.0
opm2-z10-s4.mps, 10, SCIP, 0.0
opm2-z10-s4.mps, 10, gurobi(exact), -19661.0
opm2-z10-s4.mps, 10, gurobi(heur), -19661.0
opm2-z10-s4.mps, 10, FJ, 0.0
opm2-z10-s4.mps, 10, highs, N/A
opm2-z10-s4.mps, 10, cplex, 0.0
opm2-z10-s4.mps, 10, Local-ILP, -29186.0
opm2-z12-s14.mps, 10, SCIP, 0.0
opm2-z12-s14.mps, 10, gurobi(exact), -28855.0
opm2-z12-s14.mps, 10, gurobi(heur), -28855.0
opm2-z12-s14.mps, 10, FJ, 0.0
opm2-z12-s14.mps, 10, highs, N/A
opm2-z12-s14.mps, 10, cplex, 0.0
opm2-z12-s14.mps, 10, Local-ILP, -42039.0
opm2-z12-s7.mps, 10, SCIP, 0.0
opm2-z12-s7.mps, 10, gurobi(exact), -28549.0
opm2-z12-s7.mps, 10, gurobi(heur), -28549.0
opm2-z12-s7.mps, 10, FJ, 0.0
opm2-z12-s7.mps, 10, highs, N/A
opm2-z12-s7.mps, 10, cplex, 0.0
opm2-z12-s7.mps, 10, Local-ILP, -39593.0
opm2-z12-s8.mps, 10, SCIP, 0.0
opm2-z12-s8.mps, 10, gurobi(exact), -28077.0
opm2-z12-s8.mps, 10, gurobi(heur), -28077.0
opm2-z12-s8.mps, 10, FJ, 0.0
opm2-z12-s8.mps, 10, highs, N/A
opm2-z12-s8.mps, 10, cplex, 0.0
opm2-z12-s8.mps, 10, Local-ILP, -36067.0
p6b.mps, 10, SCIP, -54.0
p6b.mps, 10, gurobi(exact), -59.0
p6b.mps, 10, gurobi(heur), -58.0
p6b.mps, 10, FJ, -1.0
p6b.mps, 10, highs, -60.0
p6b.mps, 10, cplex, -60.0
p6b.mps, 10, Local-ILP, -61.0
pb-gfrd-pnc.mps, 10, SCIP, N/A
pb-gfrd-pnc.mps, 10, gurobi(exact), N/A
pb-gfrd-pnc.mps, 10, gurobi(heur), N/A
pb-gfrd-pnc.mps, 10, FJ, N/A
pb-gfrd-pnc.mps, 10, highs, N/A
pb-gfrd-pnc.mps, 10, cplex, N/A
pb-gfrd-pnc.mps, 10, Local-ILP, N/A
pb-grow22.mps, 10, SCIP, 0.0
pb-grow22.mps, 10, gurobi(exact), 0.0
pb-grow22.mps, 10, gurobi(heur), 0.0
pb-grow22.mps, 10, FJ, 0.0
pb-grow22.mps, 10, highs, N/A
pb-grow22.mps, 10, cplex, 0.0
pb-grow22.mps, 10, Local-ILP, 0.0
pb-market-split8-70-4.mps, 10, SCIP, N/A
pb-market-split8-70-4.mps, 10, gurobi(exact), N/A
pb-market-split8-70-4.mps, 10, gurobi(heur), N/A
pb-market-split8-70-4.mps, 10, FJ, N/A
pb-market-split8-70-4.mps, 10, highs, N/A
pb-market-split8-70-4.mps, 10, cplex, N/A
pb-market-split8-70-4.mps, 10, Local-ILP, N/A
pb-simp-nonunif.mps, 10, SCIP, N/A
pb-simp-nonunif.mps, 10, gurobi(exact), N/A
pb-simp-nonunif.mps, 10, gurobi(heur), N/A
pb-simp-nonunif.mps, 10, FJ, 112.0
pb-simp-nonunif.mps, 10, highs, N/A
pb-simp-nonunif.mps, 10, cplex, 99.0
pb-simp-nonunif.mps, 10, Local-ILP, 133.0
proteindesign121hz512p19.mps, 10, SCIP, N/A
proteindesign121hz512p19.mps, 10, gurobi(exact), N/A
proteindesign121hz512p19.mps, 10, gurobi(heur), N/A
proteindesign121hz512p19.mps, 10, FJ, N/A
proteindesign121hz512p19.mps, 10, highs, N/A
proteindesign121hz512p19.mps, 10, cplex, N/A
proteindesign121hz512p19.mps, 10, Local-ILP, N/A
proteindesign121hz512p9.mps, 10, SCIP, N/A
proteindesign121hz512p9.mps, 10, gurobi(exact), 1498.0
proteindesign121hz512p9.mps, 10, gurobi(heur), 1498.0
proteindesign121hz512p9.mps, 10, FJ, N/A
proteindesign121hz512p9.mps, 10, highs, N/A
proteindesign121hz512p9.mps, 10, cplex, 1509.0
proteindesign121hz512p9.mps, 10, Local-ILP, 1509.0
protfold.mps, 10, SCIP, -12.0
protfold.mps, 10, gurobi(exact), -22.0
protfold.mps, 10, gurobi(heur), -22.0
protfold.mps, 10, FJ, -11.0
protfold.mps, 10, highs, N/A
protfold.mps, 10, cplex, -19.0
protfold.mps, 10, Local-ILP, -14.0
pythago7824.mps, 10, SCIP, N/A
pythago7824.mps, 10, gurobi(exact), N/A
pythago7824.mps, 10, gurobi(heur), N/A
pythago7824.mps, 10, FJ, N/A
pythago7824.mps, 10, highs, N/A
pythago7824.mps, 10, cplex, N/A
pythago7824.mps, 10, Local-ILP, N/A
pythago7825.mps, 10, SCIP, N/A
pythago7825.mps, 10, gurobi(exact), N/A
pythago7825.mps, 10, gurobi(heur), N/A
pythago7825.mps, 10, FJ, N/A
pythago7825.mps, 10, highs, N/A
pythago7825.mps, 10, cplex, N/A
pythago7825.mps, 10, Local-ILP, N/A
queens-30.mps, 10, SCIP, -33.0
queens-30.mps, 10, gurobi(exact), -36.0
queens-30.mps, 10, gurobi(heur), -36.0
queens-30.mps, 10, FJ, -1.0
queens-30.mps, 10, highs, -2.0
queens-30.mps, 10, cplex, -28.0
queens-30.mps, 10, Local-ILP, -38.0
rail03.mps, 10, SCIP, N/A
rail03.mps, 10, gurobi(exact), N/A
rail03.mps, 10, gurobi(heur), N/A
rail03.mps, 10, FJ, N/A
rail03.mps, 10, highs, N/A
rail03.mps, 10, cplex, N/A
rail03.mps, 10, Local-ILP, N/A
ramos3.mps, 10, SCIP, 242.0
ramos3.mps, 10, gurobi(exact), 542.0
ramos3.mps, 10, gurobi(heur), 542.0
ramos3.mps, 10, FJ, 272.0
ramos3.mps, 10, highs, N/A
ramos3.mps, 10, cplex, 2187.0
ramos3.mps, 10, Local-ILP, 216.0
reblock354.mps, 10, SCIP, -34304328.418016
reblock354.mps, 10, gurobi(exact), -25307700.0
reblock354.mps, 10, gurobi(heur), -38715400.0
reblock354.mps, 10, FJ, 0.0
reblock354.mps, 10, highs, N/A
reblock354.mps, 10, cplex, -38935306.311
reblock354.mps, 10, Local-ILP, -32233431.925997037
rmine10.mps, 10, SCIP, -420.880616
rmine10.mps, 10, gurobi(exact), -289.29
rmine10.mps, 10, gurobi(heur), -289.29
rmine10.mps, 10, FJ, 0.0
rmine10.mps, 10, highs, N/A
rmine10.mps, 10, cplex, 0.0
rmine10.mps, 10, Local-ILP, -1843.446488
rmine11.mps, 10, SCIP, 0.0
rmine11.mps, 10, gurobi(exact), -320.631
rmine11.mps, 10, gurobi(heur), -320.631
rmine11.mps, 10, FJ, 0.0
rmine11.mps, 10, highs, N/A
rmine11.mps, 10, cplex, 0.0
rmine11.mps, 10, Local-ILP, -2193.339884
rmine13.mps, 10, SCIP, 0.0
rmine13.mps, 10, gurobi(exact), -335.379
rmine13.mps, 10, gurobi(heur), -335.379
rmine13.mps, 10, FJ, 0.0
rmine13.mps, 10, highs, N/A
rmine13.mps, 10, cplex, 0.0
rmine13.mps, 10, Local-ILP, -869.5923129999999
rmine14.mps, 10, SCIP, 0.0
rmine14.mps, 10, gurobi(exact), -308.697
rmine14.mps, 10, gurobi(heur), -308.697
rmine14.mps, 10, FJ, 0.0
rmine14.mps, 10, highs, N/A
rmine14.mps, 10, cplex, 0.0
rmine14.mps, 10, Local-ILP, -648.7356719999999
rmine15.mps, 10, SCIP, 0.0
rmine15.mps, 10, gurobi(exact), -291.168
rmine15.mps, 10, gurobi(heur), -291.168
